unit_count,start_class,feature_group,feature_name,loose_sample_count,formed_reference_sample_count,loose_mean,formed_reference_mean,formed_reference_std,effective_reference_std,std_floor_used,signed_z_deviation,abs_z_deviation
7,axially_misregistered,register_phase,angular_phase_order_score,25,25,0.985485,0.952307,0.025819,0.025819,false,1.284988,1.284988
7,axially_misregistered,register_phase,refined_angular_phase_score,25,25,0.999662,0.992241,0.007306,0.007306,false,1.015732,1.015732
7,loose_initial,geometric,RMSD_to_formed_seed_A,25,25,14.912593,0.632980,0.099685,0.099685,false,143.247621,143.247621
7,loose_initial,geometric,compactness_score,25,25,0.606839,0.997950,0.002538,0.002538,false,-154.126743,154.126743
7,loose_initial,geometric,radius_of_gyration_A,25,25,21.066304,12.735563,0.061895,0.061895,false,134.595497,134.595497
7,loose_initial,geometric,radial_extent_A,25,25,33.641911,21.192618,0.532808,0.532808,false,23.365440,23.365440
7,loose_initial,geometric,axial_extent_A,25,25,43.084291,33.718921,0.354825,0.354825,false,26.394353,26.394353
7,loose_initial,geometric,helical_axis_alignment_score,25,25,0.109675,0.678850,0.234212,0.234212,false,-2.430166,2.430166
7,loose_initial,contact_recovery,contact_fraction_vs_target,25,25,0.015993,0.805266,0.048610,0.048610,false,-16.236901,16.236901
7,loose_initial,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.015946,0.810373,0.044897,0.044897,false,-17.694295,17.694295
7,loose_initial,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.015333,0.752889,0.117983,0.117983,false,-6.251353,6.251353
7,loose_initial,register_phase,axial_register_score,25,25,0.423757,0.884862,0.033316,0.033316,false,-13.840378,13.840378
7,loose_initial,register_phase,angular_phase_order_score,25,25,0.982217,0.952307,0.025819,0.025819,false,1.158425,1.158425
7,loose_initial,register_phase,refined_angular_phase_score,25,25,0.999482,0.992241,0.007306,0.007306,false,0.991079,0.991079
7,radially_separated,geometric,RMSD_to_formed_seed_A,25,25,25.182762,0.632980,0.099685,0.099685,false,246.274023,246.274023
7,radially_separated,geometric,compactness_score,25,25,0.408517,0.997950,0.002538,0.002538,false,-232.280194,232.280194
7,radially_separated,geometric,radius_of_gyration_A,25,25,31.241427,12.735563,0.061895,0.061895,false,298.989725,298.989725
7,radially_separated,geometric,radial_extent_A,25,25,38.153099,21.192618,0.532808,0.532808,false,31.832257,31.832257
7,radially_separated,geometric,axial_extent_A,25,25,34.785328,33.718921,0.354825,0.354825,false,3.005449,3.005449
7,radially_separated,geometric,helical_axis_alignment_score,25,25,0.015690,0.678850,0.234212,0.234212,false,-2.831448,2.831448
7,radially_separated,contact_recovery,contact_fraction_vs_target,25,25,0.000000,0.805266,0.048610,0.048610,false,-16.565906,16.565906
7,radially_separated,contact_recovery,CYP_MEP_contact_fraction_vs_target,25,25,0.000000,0.810373,0.044897,0.044897,false,-18.049455,18.049455
7,radially_separated,contact_recovery,backbone_contact_fraction_vs_target,25,25,0.000000,0.752889,0.117983,0.117983,false,-6.381315,6.381315
7,radially_separated,register_phase,axial_register_score,25,25,0.786835,0.884862,0.033316,0.033316,false,-2.942324,2.942324
7,radially_separated,register_phase,angular_phase_order_score,25,25,0.993488,0.952307,0.025819,0.025819,false,1.594943,1.594943
7,radially_separated,register_phase,refined_angular_phase_score,25,25,0.999916,0.992241,0.007306,0.007306,false,1.050513,1.050513
8,angular_randomized_loose_initial,geometric,RMSD_to_formed_seed_A,25,25,20.102433,0.650877,0.087003,0.087003,false,223.574187,223.574187
8,angular_randomized_loose_initial,geometric,compactness_score,25,25,0.645571,0.998300,0.002149,0.002149,false,-164.153229,164.153229
