structure_id,source_pdb,distance_window,window_type,atom_pair_class,residue_pair_class,chain_relation,pair_count,fraction_of_window,backbone_involving
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,backbone_like_vs_scaffold_linker,GLU_vs_GLU,same_chain,36,0.005048,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,2121,0.297434,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,base_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,1152,0.161548,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,base_like_vs_scaffold_linker,CYP_MEP_vs_GLU,same_chain,135,0.018931,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_5p0_6p0,exploratory_guessed,scaffold_linker_vs_scaffold_linker,GLU_vs_GLU,interchain,165,0.023138,no
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,interchain,330,0.026186,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_CYP_MEP,same_chain,180,0.014283,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,interchain,710,0.056340,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,CYP_MEP_vs_GLU,same_chain,42,0.003333,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,interchain,162,0.012855,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_backbone_like,GLU_vs_GLU,same_chain,180,0.014283,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,interchain,1344,0.106650,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_CYP_MEP,same_chain,666,0.052849,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,interchain,769,0.061022,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_base_like,CYP_MEP_vs_GLU,same_chain,732,0.058086,yes
central7,outputs\mini_hexaplex\structures\mini_hexaplex_central7_units.pdb,guessed_6p5_7p5,exploratory_guessed,backbone_like_vs_scaffold_linker,CYP_MEP_vs_GLU,interchain,336,0.026662,yes
