candidate_id,candidate_label,candidate_family,candidate_role,predicted_peak_rank,predicted_d_angstrom,predicted_q_inv_angstrom,relative_intensity,matched_experimental_window
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,6,4.613187,1.362005,0.140681,no
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,7,3.878156,1.620148,0.138292,no
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,8,4.310904,1.457510,0.129677,yes
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,9,6.626807,0.948147,0.081474,no
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,10,5.188157,1.211063,0.076412,no
nick_16mer_antiparallel_30deg_ideal,Nick-confirmed Hexaplex_AntiParallel_30deg_Ideal.pdb 16-mer simulation input,nick_confirmed_16mer_simulation_input,candidate,11,3.581075,1.754553,0.056936,no
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,1,3.378057,1.860000,1.000000,yes
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,2,3.739991,1.680000,0.153269,yes
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,3,4.053668,1.550000,0.139602,no
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,4,4.333231,1.450000,0.114444,yes
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,5,5.872136,1.070000,0.047379,no
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,6,5.370244,1.170000,0.029465,no
negative_hexads_only,Hexads-only partial-structure negative control,wrong_geometry_control,negative_control,7,6.544985,0.960000,0.024416,no
negative_scaffold_only,Scaffold-only partial-structure negative control,wrong_geometry_control,negative_control,1,5.817764,1.080000,1.000000,no
negative_scaffold_only,Scaffold-only partial-structure negative control,wrong_geometry_control,negative_control,2,7.570103,0.830000,0.383505,yes
negative_scaffold_only,Scaffold-only partial-structure negative control,wrong_geometry_control,negative_control,3,4.363323,1.440000,0.320379,yes
negative_scaffold_only,Scaffold-only partial-structure negative control,wrong_geometry_control,negative_control,4,3.902600,1.610000,0.298369,no
negative_scaffold_only,Scaffold-only partial-structure negative control,wrong_geometry_control,negative_control,5,3.378057,1.860000,0.158360,yes
