model_id,d_A,intensity
angle27_cand18,3.7382963108851506,3246417.766820427
angle27_cand18,3.6794711611707145,3265179.8558103642
angle27_cand18,3.6225585247818612,2856303.75466571
angle27_cand18,3.5674679777034064,3216603.8791959584
angle27_cand18,3.5141147027782615,3345411.7314900956
angle27_cand18,3.4624190617140362,9067428.637590764
angle27_cand18,3.412306205705666,5392001.701190041
angle27_cand18,3.3637057206694214,10983089.874715962
angle27_cand18,3.316551303551382,7013938.408825491
angle27_cand18,3.2707804665805473,5105424.158430654
angle27_cand18,3.226334266691961,3571169.5966248
angle27_cand18,3.183157057655629,2541165.203738744
angle27_cand18,3.1411962627189505,2319815.504539828
angle27_cand18,3.100402165808998,2233948.298475003
angle27_cand18,3.0607277195507496,1967736.863383368
angle27_cand18,3.0221283685421896,1776671.4270844702
angle27_cand18,2.9845618864902175,1341247.0594458466
angle27_cand18,2.9479882259554047,1414948.7115992843
angle27_cand18,2.912369379581268,1383475.3509175829
angle27_cand18,2.8776692517968083,1422442.7969392939
angle27_cand18,2.8438535400816245,1584139.562135013
angle27_cand18,2.810889624972247,1737373.108741904
angle27_cand18,2.7787464680680305,1971739.3188423265
angle27_cand18,2.747394517365969,2187876.285159328
angle27_cand18,2.7168056193173014,2230309.1096383072
angle27_cand18,2.6869529370555894,2266131.0097556775
angle27_cand18,2.657810874296835,2294586.1414724705
angle27_cand18,2.629355004457874,2247896.920582251
angle27_cand18,2.601562004580294,2026337.0023469422
angle27_cand18,2.57440959368403,2173012.581312678
angle27_cand18,2.547876475208006,2058006.2825369213
angle27_cand18,2.5219422832251377,2143512.5519041647
angle27_cand18,2.4965875321460995,2188840.4778943495
angle27_cand18,2.4717935696506212,2288369.042375504
angle27_cand18,2.447542532607264,2561388.046644371
angle27_cand18,2.4238173057626193,3065161.8812935785
angle27_cand18,2.400601482999028,2733192.5505980095
angle27_cand18,2.3778793309764166,3285189.0033468623
angle27_cand18,2.3556357549888265,2957456.5232606805
angle27_cand18,2.3338562668798124,3422742.1639509276
angle27_cand18,2.3125269548733143,3469430.0335245742
angle27_cand18,2.2916344551879,3752260.021394125
angle27_cand18,2.2711659253125793,3818687.130859134
angle27_cand18,2.251109018831818,4749403.437714988
angle27_cand18,2.2314518616959678,3504072.8432795154
angle27_cand18,2.212183029841217,4907719.738712586
angle27_cand18,2.193291528070352,4539951.508712315
angle27_cand18,2.1747667701122286,4228368.728750196
angle27_cand18,2.156598559783912,4245986.695391793
angle27_cand18,2.138777073184987,3711410.7992976634
angle27_cand18,2.121292841858658,3080606.188945569
angle27_cand18,2.1041367368589317,2909418.756568574
angle27_cand18,2.087299953667518,2395663.9189119833
angle27_cand18,2.054550671808726,2671135.4213743117
angle27_cand18,2.0229805241837067,3226362.1897577965
angle27_cand18,1.9925293892289613,3282846.700496394
angle27_cand18,1.9777057635652266,3075026.7300899914
angle27_cand13,445.0130562565878,7739670527.987438
angle27_cand13,89.00503999841906,3972500367.187989
angle27_cand13,63.5767633212819,2208280890.2016926
angle27_cand13,40.46125183167113,575646077.516981
angle27_cand13,29.675091945324713,107441244.1716018
angle27_cand13,26.18580879442811,44323765.095095456
angle27_cand13,23.43132431885384,10911352.639800606
angle27_cand13,21.20169597173345,9729921.511980087
angle27_cand13,19.36000469388422,11330789.467895934
angle27_cand13,16.495600130686242,8585556.791515276
angle27_cand13,15.359924226752971,6945565.233439732
angle27_cand13,14.370917190024475,4215870.900039508
angle27_cand13,13.501911881730377,4874265.087174364
angle27_cand13,12.732336504650608,4537081.168351437
angle27_cand13,12.04606721352027,6656256.559996703
angle27_cand13,11.430287614541383,6003230.859645184
angle27_cand13,10.874682069916327,3255820.117802621
angle27_cand13,10.370854126698163,2381105.4293652982
angle27_cand13,9.911900031281524,1860943.989092173
angle27_cand13,9.492091133811293,2087240.7314990843
angle27_cand13,9.106634071104004,2804829.538710357
angle27_cand13,8.751487377117718,2685440.8873234782
angle27_cand13,8.423219615580143,2395546.4965275116
angle27_cand13,8.118898465498383,2815159.2428563624
angle27_cand13,7.836003157088168,2430696.643694238
angle27_cand13,7.572354717345019,3296394.8679791014
angle27_cand13,7.326059937798561,3276948.9002881935
angle27_cand13,7.095466015075968,4324814.600595693
angle27_cand13,6.879123565515574,5050783.349366826
angle27_cand13,6.675756264029209,6069406.764642135
angle27_cand13,6.484235763162709,5396664.365781389
angle27_cand13,6.303560851188807,6553224.4185761465
angle27_cand13,6.13284003626726,6160649.025831254
angle27_cand13,5.9712769171396785,7327074.532181767
angle27_cand13,5.818157833716352,6473903.524423782
angle27_cand13,5.672841393523596,7411379.565370906
angle27_cand13,5.534749549788793,7191890.958473738
angle27_cand13,5.403359969441125,6446857.7770449305
angle27_cand13,5.278199478571246,4503017.915407475
angle27_cand13,5.158838411965753,3554707.5811195313
angle27_cand13,5.044885724502379,3115210.8856644286
angle27_cand13,4.935984747196603,1893889.346321988
angle27_cand13,4.831809490855344,1986974.3294416212
angle27_cand13,4.732061416637764,2777358.596054382
