model_id,rise_label,rise_A,twist_deg,sidechain_variant,candidate_id,coordinate_file,coordinate_status,diffraction_status,diffraction_file,score_status,base_rmsd,helical_rmsd,combined_rmsd,notes
rise3p38_twist28_glu_ablated_cand10,rise3p38,3.380,28.000,glu_ablated,cand10,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand10\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand11,rise3p38,3.380,28.000,glu_ablated,cand11,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand11\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand12,rise3p38,3.380,28.000,glu_ablated,cand12,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand12\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand13,rise3p38,3.380,28.000,glu_ablated,cand13,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand13\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand14,rise3p38,3.380,28.000,glu_ablated,cand14,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand14\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand15,rise3p38,3.380,28.000,glu_ablated,cand15,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand15\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand16,rise3p38,3.380,28.000,glu_ablated,cand16,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand16\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand17,rise3p38,3.380,28.000,glu_ablated,cand17,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand17\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand18,rise3p38,3.380,28.000,glu_ablated,cand18,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand18\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand19,rise3p38,3.380,28.000,glu_ablated,cand19,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand19\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand2,rise3p38,3.380,28.000,glu_ablated,cand2,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand2\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand20,rise3p38,3.380,28.000,glu_ablated,cand20,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand20\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand21,rise3p38,3.380,28.000,glu_ablated,cand21,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand21\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand22,rise3p38,3.380,28.000,glu_ablated,cand22,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand22\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand23,rise3p38,3.380,28.000,glu_ablated,cand23,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand23\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand24,rise3p38,3.380,28.000,glu_ablated,cand24,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand24\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand25,rise3p38,3.380,28.000,glu_ablated,cand25,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand25\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand26,rise3p38,3.380,28.000,glu_ablated,cand26,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand26\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand27,rise3p38,3.380,28.000,glu_ablated,cand27,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand27\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand28,rise3p38,3.380,28.000,glu_ablated,cand28,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand28\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand29,rise3p38,3.380,28.000,glu_ablated,cand29,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand29\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand3,rise3p38,3.380,28.000,glu_ablated,cand3,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand3\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand30,rise3p38,3.380,28.000,glu_ablated,cand30,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand30\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand4,rise3p38,3.380,28.000,glu_ablated,cand4,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand4\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand5,rise3p38,3.380,28.000,glu_ablated,cand5,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand5\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
rise3p38_twist28_glu_ablated_cand6,rise3p38,3.380,28.000,glu_ablated,cand6,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\28\cand6\initial.pdb,available,pending,,pending,,,,primary matched 28-32 twist scan
