rise_label,twist_deg,candidate_id,source_pdb,dest_pdb,status,kept_atoms,removed_atoms
rise3p38,20,cand3,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand3\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand3\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand30,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand30\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand30\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand31,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand31\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand31\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand32,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand32\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand32\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand33,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand33\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand33\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand34,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand34\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand34\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand35,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand35\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand35\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand36,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand36\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand36\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand37,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand37\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand37\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand38,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand38\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand38\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand39,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand39\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand39\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand4,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand4\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand4\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand40,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand40\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand40\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand41,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand41\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand41\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand42,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand42\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand42\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand43,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand43\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand43\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand44,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand44\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand44\initial.pdb,glu_ablated,2364,1446
rise3p38,20,cand45,inputs\asem_matched_twist_scan\rise3p38\sidechain\20\cand45\initial.pdb,inputs\asem_matched_twist_scan\rise3p38\glu_ablated\20\cand45\initial.pdb,glu_ablated,2364,1446
