bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
96,0.77589263,8.09800872,6649430.61064,0.0124272618825,16
97,0.78387699,8.01552466,6100325.77923,0.0114010282183,36
98,0.79185962,7.93472118,2340574.02016,0.00437434842277,28
99,0.79984052,7.85554762,4341031.26433,0.00811304539003,32
100,0.80781967,7.77795531,8395896.07457,0.0156912682253,16
101,0.81579705,7.70189752,2896674.28419,0.00541365599942,32
102,0.82377265,7.62732934,5702181.11398,0.0106569272099,36
103,0.83174645,7.55420758,4903644.92946,0.00916452600013,32
104,0.83971842,7.48249072,5828934.37399,0.0108938190656,24
105,0.84768856,7.41213881,3623937.70747,0.00677285403424,36
106,0.85565685,7.34311340,7096507.13718,0.0132628126841,28
107,0.86362328,7.27537746,1159276.42919,0.00216659630326,32
108,0.87158781,7.20889534,3016686.78871,0.00563794991422,40
109,0.87955044,7.14363269,3499188.05207,0.00653970675769,16
110,0.88751116,7.07955640,3868348.48182,0.00722963851362,32
111,0.89546994,7.01663454,3590319.04878,0.00671002341007,40
112,0.90342677,6.95483634,2231427.21488,0.00417036164371,40
113,0.91138163,6.89413208,3092368.57201,0.00577939320401,24
114,0.91933450,6.83449311,2358528.68703,0.00440790428044,40
115,0.92728537,6.77589175,776120.500086,0.00145050806178,8
116,0.93523423,6.71830128,3867489.34806,0.00722803286032,60
117,0.94318105,6.66169589,2876848.29478,0.00537660278736,24
118,0.95112582,6.60605064,3078779.76373,0.00575399679204,52
119,0.95906852,6.55134142,1717808.8963,0.00321044947582,16
120,0.96700914,6.49754493,6150227.45025,0.0114942905095,36
121,0.97494765,6.44463863,1617674.4982,0.00302330617567,48
122,0.98288405,6.39260071,6629972.98299,0.0123908971096,40
123,0.99081832,6.34141009,2547907.17065,0.00476183774462,24
124,0.99875044,6.29104634,10099295.5501,0.018874787629,44
125,1.00668039,6.24148970,1108360.65574,0.00207143873448,28
126,1.01460817,6.19272101,10354413.7547,0.019351583452,48
127,1.02253374,6.14472175,6078307.71346,0.0113598781882,24
128,1.03045710,6.09747394,15305143.0726,0.0286041064642,40
129,1.03837823,6.05096018,3474799.79655,0.00649412702976,28
130,1.04629711,6.00516358,10964779.6347,0.020492309189,48
131,1.05421373,5.96006779,9442658.0438,0.0176475838683,52
132,1.06212807,5.91565694,18381796.1016,0.0343541285566,40
133,1.07004012,5.87191564,12282378.9513,0.0229547984941,24
134,1.07794986,5.82882893,8759049.94343,0.0163699741922,44
135,1.08585726,5.78638235,11149537.865,0.0208376077638,48
136,1.09376233,5.74456180,8730892.09363,0.0163173493896,24
137,1.10166504,5.70335364,15022781.6169,0.0280763951516,52
138,1.10956537,5.66274459,2402171.62833,0.00448946949898,16
139,1.11746332,5.62272177,10783455.8508,0.020153429324,68
140,1.12535885,5.58327266,10964202.0234,0.020491229679,24
141,1.13325197,5.54438509,8297648.44296,0.0155076511431,56
142,1.14114264,5.50604725,8476739.08821,0.0158423574479,32
143,1.14903087,5.46824763,10241838.3651,0.0191411889189,36
144,1.15691662,5.43097507,5971214.76604,0.0111597299076,52
145,1.16479989,5.39421868,6103893.03442,0.0114076951371,56
146,1.17268065,5.35796791,6496936.11142,0.012142261679,24
147,1.18055890,5.32221246,3661324.28554,0.00684272660285,40
148,1.18843462,5.28694233,6890009.04588,0.0128768840221,52
149,1.19630779,5.25214777,4191558.25551,0.00783369211399,56
150,1.20417840,5.21781931,4352176.74121,0.00813387540814,20
151,1.21204643,5.18394771,3881783.97041,0.00725474838318,48
152,1.21991186,5.15052399,2959357.02684,0.00553080510646,32
153,1.22777469,5.11753938,2971826.28142,0.00555410916079,60
154,1.23563489,5.08498536,2938328.42749,0.00549150431118,56
155,1.24349244,5.05285363,2444868.85034,0.00456926724267,56
156,1.25134735,5.02113608,1286480.12762,0.00240432999285,8
157,1.25919958,4.98982483,3127148.74427,0.00584439460551,64
158,1.26704912,4.95891217,1632232.94998,0.00305051477494,64
159,1.27489596,4.92839062,945479.279441,0.0017670262761,24
160,1.28274009,4.89825286,3795844.15958,0.0070941336482,48
161,1.29058148,4.86849177,2204740.55316,0.00412048637568,40
162,1.29842012,4.83910037,2049460.58929,0.00383028035817,60
163,1.30625601,4.81007190,1935397.16727,0.00361710480982,40
164,1.31408911,4.78139972,4628499.40761,0.00865030069935,68
165,1.32191942,4.75307739,1695675.33414,0.00316908359212,24
166,1.32974692,4.72509858,1332472.36627,0.00249028586302,40
167,1.33757160,4.69745716,5791458.8631,0.0108237802886,68
168,1.34539345,4.67014711,2709410.34347,0.00506367444929,72
